{X=112, Y=80}
{X=95, Y=132}
{X=120, Y=80}
{X=22, Y=189}
{X=128, Y=80}
{X=142, Y=73}
{X=136, Y=80}
{X=69, Y=200}
{X=144, Y=80}
{X=39, Y=192}
{X=152, Y=80}
{X=112, Y=213}
{X=160, Y=80}
{X=88, Y=47}
{X=168, Y=80}
{X=219, Y=136}
{X=176, Y=80}
{X=108, Y=206}
{X=184, Y=80}
{X=224, Y=138}
{X=192, Y=80}
{X=224, Y=139}
{X=200, Y=80}
{X=200, Y=55}
{X=208, Y=80}
{X=52, Y=16}
{X=216, Y=80}
{X=67, Y=101}
{X=224, Y=80}
{X=0, Y=106}
{X=232, Y=80}
{X=5, Y=18}
{X=240, Y=80}
{X=117, Y=62}
{X=248, Y=80}
{X=142, Y=45}
{X=0, Y=88}
{X=145, Y=48}
{X=8, Y=88}
{X=22, Y=41}
{X=16, Y=88}
{X=129, Y=46}
{X=24, Y=88}
{X=35, Y=125}
{X=32, Y=88}
{X=90, Y=56}
{X=40, Y=88}
{X=33, Y=126}
{X=48, Y=88}
{X=34, Y=124}
{X=56, Y=88}
{X=59, Y=194}
{X=64, Y=88}
{X=72, Y=185}
{X=72, Y=88}
{X=89, Y=55}
{X=80, Y=88}
{X=83, Y=63}
{X=88, Y=88}
{X=101, Y=144}
{X=96, Y=88}
{X=215, Y=151}
{X=104, Y=88}
{X=63, Y=125}
{X=112, Y=88}
{X=147, Y=147}
{X=120, Y=88}
{X=123, Y=129}
{X=128, Y=88}
{X=164, Y=55}
{X=136, Y=88}
{X=138, Y=30}
{X=144, Y=88}
{X=134, Y=96}
{X=152, Y=88}
{X=152, Y=51}
{X=160, Y=88}
{X=34, Y=192}
{X=168, Y=88}
{X=124, Y=217}
{X=176, Y=88}
{X=204, Y=139}
{X=184, Y=88}
{X=52, Y=194}
{X=192, Y=88}
{X=95, Y=42}
{X=200, Y=88}
{X=74, Y=200}
{X=208, Y=88}
{X=48, Y=106}
{X=216, Y=88}
{X=241, Y=49}
{X=224, Y=88}
{X=149, Y=221}
{X=232, Y=88}
{X=81, Y=188}
{X=240, Y=88}
{X=208, Y=52}
{X=248, Y=88}
{X=86, Y=170}
{X=0, Y=96}
{X=88, Y=169}
